2024-05-22 17:11:17,087 INFO    MainThread:1011452 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_setup.py:_flush():76] Configure stats pid to 1011452
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_setup.py:_flush():76] Loading settings from /home-mscluster/abrickhill/.config/wandb/settings
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_setup.py:_flush():76] Loading settings from /home-mscluster/abrickhill/RR/cluster/wandb/settings
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'environment/trainwandb.py', 'program_abspath': '/home-mscluster/abrickhill/RR/environment/trainwandb.py', 'program': '/home-mscluster/abrickhill/RR/cluster/../environment/trainwandb.py'}
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_init.py:_log_setup():520] Logging user logs to /home-mscluster/abrickhill/RR/cluster/wandb/run-20240522_171117-jbhu1bkh/logs/debug.log
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_init.py:_log_setup():521] Logging internal logs to /home-mscluster/abrickhill/RR/cluster/wandb/run-20240522_171117-jbhu1bkh/logs/debug-internal.log
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_init.py:init():560] calling init triggers
2024-05-22 17:11:17,088 INFO    MainThread:1011452 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'policy_type': 'MlpPolicy', 'total_timesteps': 100000, 'env_name': 'HandoverEnv'}
2024-05-22 17:11:17,089 INFO    MainThread:1011452 [wandb_init.py:init():610] starting backend
2024-05-22 17:11:17,089 INFO    MainThread:1011452 [wandb_init.py:init():614] setting up manager
2024-05-22 17:11:17,091 INFO    MainThread:1011452 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-22 17:11:17,094 INFO    MainThread:1011452 [wandb_init.py:init():622] backend started and connected
2024-05-22 17:11:17,097 INFO    MainThread:1011452 [wandb_init.py:init():711] updated telemetry
2024-05-22 17:11:17,117 INFO    MainThread:1011452 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-22 17:11:17,775 INFO    MainThread:1011452 [wandb_run.py:_on_init():2396] communicating current version
2024-05-22 17:11:17,814 INFO    MainThread:1011452 [wandb_run.py:_on_init():2405] got version response 
2024-05-22 17:11:17,814 INFO    MainThread:1011452 [wandb_init.py:init():795] starting run threads in backend
2024-05-22 17:11:23,973 INFO    MainThread:1011452 [wandb_run.py:_console_start():2374] atexit reg
2024-05-22 17:11:23,973 INFO    MainThread:1011452 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-22 17:11:23,973 INFO    MainThread:1011452 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-22 17:11:23,973 INFO    MainThread:1011452 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-22 17:11:23,977 INFO    MainThread:1011452 [wandb_init.py:init():838] run started, returning control to user process
